cohort,childid,treat,absent,absenteeism,cgender,cage
1,411,1,5,0,0,4.29781420765
1,412,1,7,0,0,4.05464480875
1,413,1,4,0,1,4.39890710383
1,414,1,10,0,1,4.21584699454
1,416,1,10,0,1,4.04918032787
1,418,1,6,0,1,4.11202185793
1,419,1,11,0,0,4.22131147541
1,420,1,10,0,1,3.54063926941
1,422,1,4,0,1,3.36529680366
1,423,1,5,0,0,3.71857923498
1,424,0,15,0,0,4.61475409836
1,425,0,31,1,0,4.21038251366
1,426,0,3,0,1,4.69406392694
1,427,0,9,0,1,4.32786885246
1,429,1,3,0,1,4.08469945355
1,430,1,10,0,0,3.95901639345
1,431,1,40,1,0,3.85519125683
1,433,0,14,0,0,4.01639344263
1,434,0,20,1,0,4.50546448088
1,435,0,3,0,1,4.16666666667
1,436,0,0,0,1,4.74611872146
1,453,0,12,0,0,4.62841530055
1,454,0,10,0,1,4.01092896175
1,455,0,10,0,0,4.1174863388
1,457,1,12,0,1,3.94262295082
1,458,1,6,0,0,4.42076502732
1,459,1,7,0,0,4.53005464481
1,460,1,10,0,1,4.13114754099
1,461,1,2,0,1,4.14207650273
1,462,1,4,0,1,4.01092896175
1,463,1,5,0,0,3.40913242009
1,465,0,3,0,0,4.29508196722
1,466,0,10,0,0,4.05464480875
1,467,0,20,1,1,4.22677595629
1,468,0,8,0,1,4.13387978142
1,470,1,15,0,1,4.10109289618
1,471,1,6,0,0,4.51366120219
1,472,1,10,0,0,3.97540983607
1,473,1,13,0,1,3.28858447489
1,475,1,4,0,0,4.85844748859
1,477,1,13,0,1,4.84748858448
1,478,1,15,0,1,4.53551912569
1,479,1,3,0,0,4.25409836066
1,480,1,25,1,0,4.48087431694
1,481,0,21,1,0,4.62841530055
1,482,0,12,0,1,4.40163934426
1,484,0,16,0,1,4.24590163935
1,490,1,15,0,1,4.10928961749
1,492,1,10,0,1,4.60382513661
1,495,1,20,1,1,4.30054644809
1,496,0,3,0,1,4.80639269407
1,497,1,20,1,0,3.58173515982
1,498,0,10,0,1,4.77899543379
1,499,0,4,0,0,4.44535519126
1,500,0,3,0,0,4.59836065574
1,505,1,3,0,1,4.53551912569
1,506,1,3,0,0,4.52732240437
1,512,1,5,0,0,3.56255707763
1,516,1,0,0,0,4.56284153006
1,518,1,0,0,0,4.03551912569
1,519,1,30,1,0,4.2568306011
1,520,1,2,0,1,4.64207650273
1,522,1,7,0,1,4.54098360656
1,523,1,27,1,0,4.55191256831
1,525,1,23,1,1,4.07103825137
1,526,1,17,0,0,3.08310502283
1,527,1,30,1,0,3.07762557078
1,535,1,2,0,1,3.98907103825
1,536,0,5,0,0,4.28415300547
1,537,0,3,0,0,4.48907103825
1,538,0,4,0,1,4.12568306011
1,539,0,15,0,1,4.40983606558
1,540,0,15,0,0,3.96448087432
1,541,0,20,1,1,4.60109289618
1,542,0,20,1,0,2.98447488585
1,543,0,3,0,1,4.8392694064
1,544,0,5,0,1,4.38524590164
1,545,0,2,0,1,4.64207650273
1,548,0,10,0,0,4.0956284153
1,549,0,5,0,0,4.60655737705
1,552,1,25,1,1,4.88310502283
1,553,1,6,0,1,4.47814207651
1,556,1,30,1,0,4.74611872146
1,557,1,13,0,1,3.84153005465
1,558,1,3,0,1,3.8306010929
1,560,1,13,0,0,4.07103825137
1,566,0,36,1,1,4.33606557377
1,567,1,4,0,1,4.15573770492
1,568,1,5,0,1,4.56010928962
1,573,1,4,0,0,4.7296803653
1,574,0,7,0,1,4.53278688525
1,575,0,2,0,1,4.04098360656
1,577,0,6,0,1,4.41256830601
1,578,0,20,1,1,4.25409836066
1,579,0,5,0,0,4.0218579235
1,580,1,9,0,1,3.96448087432
1,582,0,6,0,0,4.01639344263
1,583,0,9,0,0,4.46174863388
1,584,0,10,0,1,4.80913242009
1,586,0,23,1,1,3.57625570777
1,587,0,5,0,0,4.74063926941
1,588,0,20,1,1,4.00546448088
1,589,0,38,1,0,4.77351598174
1,590,0,33,1,1,3.36803652968
1,591,0,41,1,0,3.38721461187
1,592,1,20,1,0,4.78447488585
1,593,1,6,0,1,4.23770491804
1,595,1,12,0,1,4.13661202186
1,596,0,7,0,1,4.31147540984
1,597,0,12,0,0,3.89890710383
1,598,0,9,0,1,4.40710382514
1,600,1,10,0,1,4.79817351598
1,601,1,24,1,0,4.65573770492
1,602,1,15,0,1,4.89406392694
1,603,1,20,1,0,4.31147540984
1,604,1,18,1,0,4.27595628416
1,605,1,1,0,1,3.59543378996
1,606,1,2,0,1,4.71050228311
1,611,0,8,0,0,4.32513661202
1,612,0,4,0,1,4.15300546448
1,613,0,20,1,1,3.96174863388
1,614,0,3,0,0,4.05191256831
1,620,1,12,0,0,4.07923497268
1,621,1,3,0,0,4.25136612022
1,623,1,6,0,1,3.50502283105
1,624,1,16,0,1,4.69406392694
1,625,0,10,0,1,3.96448087432
1,626,0,3,0,0,4.24590163935
1,627,0,5,0,1,4.63387978142
1,628,0,10,0,0,4.48087431694
1,629,1,10,0,1,4.22131147541
1,630,1,10,0,0,4.52459016394
1,631,1,5,0,0,4.65300546448
1,632,1,8,0,1,4.56010928962
1,637,0,10,0,0,4.40710382514
1,638,0,6,0,0,3.95628415301
1,639,0,7,0,1,4.20218579235
1,640,0,10,0,1,4.28961748634
1,642,1,7,0,0,3.92349726776
1,644,1,9,0,1,3.88524590164
1,653,0,8,0,1,3.98907103825
1,660,0,15,0,1,3.70218579235
1,661,0,4,0,0,4.38797814208
1,662,0,3,0,1,3.83879781421
