id,mentor,mentor_school,education,income_log,gpa
91508123,0,97,17,10.88,3.38
91508381,1,11,15,9.9,1.94
91508526,0,97,13,0,2.5
91508766,0,97,13,9.8,2.54
91508836,0,97,18,10.69,3.12
91508873,0,97,15,9.68,2.88
91508948,0,97,13,10.78,1.98
91570095,1,11,15,11.23,1.6
91570110,0,97,11,10.31,2.7
91570187,0,97,13,10.46,1.5
91570425,1,11,15,9.83,2.44
91570497,1,11,15,10.74,2.11
91570525,0,97,13.5,10.31,2.9
91570597,1,11,17,10.9,2.18
91570621,1,11,19,9.21,4
91570692,1,11,17,6.91,3.35
91570823,0,97,13,16.12,1.2
91570986,0,97,11,0,0.7
91571155,0,97,17,10.82,2.31
91571467,0,97,15,10.13,1.45
91571560,1,12,17,10.92,2.94
91571601,0,97,17,10.28,2.83
91571707,1,11,15,0,3.38
91571817,1,11,17,10.65,3.88
91571876,0,97,17,10.4,1.78
91572001,0,97,17,11.16,3.89
91572040,0,97,13,11.4,1.33
91572063,0,97,19,10.6,3.91
91572122,0,97,15,10.55,2.21
91572183,0,97,14,10.49,2.54
91572321,0,97,13,7.78,2.07
91572346,1,12,11,10.39,2.17
91572381,0,97,19,10.93,3.18
91572389,0,97,17,10.82,3.49
91572964,0,97,15,8.85,3.02
91572999,1,11,17,10.4,3.44
91573016,0,97,15,10.34,2.54
91573031,0,97,17,4.11,2.87
91573099,0,97,15,9.74,1.83
91573259,0,97,15,9.62,2.65
91573291,0,97,15,10.09,3.17
91573310,0,97,11,10.65,0.14
91573334,1,11,20,9.01,2.02
91573417,0,97,15,0,2.41
91573708,1,11,19,10.49,3
91573956,1,12,17,12.04,2.72
91573958,1,11,17,11,4
91574121,0,97,11,9.9,0.5
91574308,1,11,20,10.92,2.98
91574337,0,97,14,16.12,1.69
91574399,1,11,20,10.46,3.63
91574504,1,11,17,10.82,3.28
91574594,0,97,11,9.9,0.05
91575065,1,11,17,11.35,3.55
91575076,0,97,17,16.12,2.44
91575077,1,11,17,10.71,3.25
91575083,1,11,13,10.04,1.91
91575094,0,97,13.5,10.34,1.49
91575180,0,97,13,10.13,0.29
91575217,0,97,15,10.67,2.42
91575235,1,11,17,10.04,3.06
91575240,0,97,19,10.67,3.48
91575280,1,11,14,9.68,2.18
91575358,1,11,15,10.74,2.88
91575432,1,11,19,10.88,3.08
91575522,1,11,15,9.9,3.42
91575602,0,97,17,11.16,3.44
91575626,0,97,15,10,2.48
91575726,0,97,13,10.55,1.32
91575916,1,11,15,10.46,2.42
91575930,1,11,15,10.49,2.05
91575931,0,97,18,10.76,3.15
91575948,1,11,15,9.29,3.76
91575956,1,11,20,10.55,2.96
91576129,1,11,15,10.13,2.23
91576138,0,97,15,10.93,2.96
91576154,1,11,13,10.9,2.83
91576363,0,97,13.5,10.8,2.93
91576537,0,97,13,11.08,2.02
91576561,0,97,17,10.49,2.65
91576651,1,11,18,10.13,2.46
91576910,1,11,15,10.31,3.2
91577183,1,11,20,10.62,2.73
91577221,1,11,18,10.6,3.16
91577311,0,97,15,10.31,3.96
91577313,1,11,17,10.74,3.96
91577319,0,97,13,9.9,1.25
91577414,1,11,17,10.04,2.8
91578089,1,11,17,8.7,2.32
91578193,0,97,13,6.91,2.4
91578315,1,11,15,10.46,2
91578510,0,97,13.5,10.46,1.92
91578526,1,11,17,10.37,2.08
91578740,1,11,14,10.13,2.61
91578747,0,97,13,8.29,2.23
91578892,0,97,13,7.6,2.49
91578999,0,97,15,9.09,2.42
91579243,1,11,15,8.16,1.54
91579246,0,97,15,10.76,1.25
91579296,1,11,15,11.29,3.22
91579339,1,12,15,11.23,2.52
91579967,0,97,14,9.21,2.84
91579987,1,12,17,10.82,3.66
91579993,0,97,15,0,3.61
91579997,0,97,13,9.8,3.19
91608476,1,11,15,10.42,2.85
91614978,0,97,15,10.31,2.64
91619063,0,97,19,7.7,2.91
91619665,0,97,20,12.21,3.24
91619862,1,11,17,10.6,2.38
91646122,1,11,20,10.82,2.4
91676253,1,11,17,10.31,3.35
91676522,0,97,15,10.28,2.08
91678572,0,97,17,10.49,3
91710214,0,97,15,10.17,2.4
91710287,0,97,13,10.2,1.36
91710293,0,97,14,10.71,2.49
91710339,0,97,15,8.52,2.23
91710655,0,97,15,10.37,1.81
91710996,0,97,15,7.31,3.06
91711065,0,97,13,10.8,1.67
91712217,0,97,14,8.7,2.98
91712314,1,11,11,9.68,1.68
91712372,0,97,13,9.68,2.5
91712909,0,97,15,10.2,2.09
91712918,1,11,13,0,2.65
91713006,1,11,15,11.08,2.53
